"KT·서울성모병원, 당뇨 관리 돕는 AI 기술 개발"
"삼성전자, AI인재 키워 반도체·디스플레이 연구한다"
삼성전자 ‘AI 챌린지’
"농정원, 스마트농업 AI 경진대회 개최…총상금 1억원"
"코트라, 'AI 활용'…중견기업 ESG 모니터링 지원"
"KT-NIPA, ICT 벤처에 DX 컨설팅·AI인재 양성 지원"
"영진전문대 AI융합기계계열, 로봇관련 학술대회 논문상 수상"
“일주일내 범죄 발생 예측 정확도 90%” AI 도입 득될까?
"KT, 공감하는 AI로 ‘사람다운’ 로봇 세상 만든다"
AI와 대화·이동통신 모니터링…‘고독사 예방’ 팔걷은 지자체들
"영남중·대구고 SW동아리, MS 주최 AI 경진대회 수상"
현대차 `R&D 경력` 세자릿수 채용… AI 인터뷰 도입
"서울시-KAIST, 기업 내부서 고급 AI개발자 인력 양성하도록 지원"
지금 들어가고 9월까지는 팔아라…AI가 예언하는 '나스닥100'
"남성희 전문대교협회장 ""전문대 AI·반도체 전공에 4년제 허용해야"""
[AI-META 시대 '미래전략']<26>교육 대전환
"시 쓰는 AI, 인간에게 던지는 화두는?"
"조선대, 프라이버시 보장 AI 기술 공동 개발…동형암호 실용화 기반 마련"
"도로교통공단, 빅데이터ㆍAI 기반 위험도로예측 시범서비스 구축"
"조선대, 화정중서 ‘AI‧SW 여름방학 아카데미’ 진행"
AI와 영어 말하기 대결…윤선생 '말하톤 대회' 개최
"카카오가 찜한 'AI 아이돌', 뉴스 생방송에서 일냈다…'가상인간' 열풍"
‘땅개’서 ‘AI 무장 호랑이’로… 전투력 초격차로 적 초토화 [S스토리]
"과기정통부, AI 초일류 전략 내놓는다···AI 활용 제고에 방점"
"KT, EBS와 AI 인재 육성 맞손"
풍선 속 다이아몬드 찾기…중국 쇼핑몰 아수라장｜AI가 Pick한 세상
"광주시의회, AI 전문가 초청 '인공지능 R&D 발전방향' 공부"
"똑똑한 'AI 은행원' 나온다...금융위, 가명정보 AI 데이터로 허용"
동강대 AI 기반 맞춤형 토익 프로그램 실시
AI가 이젠 시도 쓰고 작곡도 한다…저작권은 어떻게 될까
"김포공항 AI, 반입금지 물품 1초만에 잡는다"
"서울시-KAIST, 고급 AI개발자 양성 프로그램 지원"
"""AI로 병원 혁신시킨다는 믿음"" 네이버 광폭행보"
"에이프리카, AI 통합 플랫폼 '치타' 조달청 디지털서비스몰 등록"
세일즈포스·마이크로소프트…전세계 AI기업 한방에 투자
"현대차 연구개발본부, AI활용 대규모 경력직원 채용"
"포스코그룹, AI 기술 자문위원회 신설…'미래 전략' 수립 시동"
"포스코그룹, 'AI 기술 자문위원회' 신설…""신사업·인재 발굴"""
괴산군도 합류 … AI 영재고 유치전 `후끈'
"KB증권, 인공지능 기술 적용한 'AI상담 콜봇'"
"서천교육청, 미래 시대를 위한 AI 교육 교원 연수 운영"
"aT, 농산물 가격 예측 AI 경진대회 개최"
시(詩) 감정선까지 짚어낸 AI...‘무한도전’
"의료기 유통 에이치엔드림, AI영상분석 우경정보기술과 협약"
"호남대, 광주발달장애인훈련센터 AI교육과정 자문"
덴마크에 AI정당 등장···2023년 의석 확보 목표
"[Pangyo Tech] 리빌더AI, 가상공간 구축 위해 메가플랜과 맞손... 다량의 실사..."
"'모네인 듯, 모네 아닌' AI 그림…예술적 가치 있을까? [아트마켓 사용설명서..."
"진천교육청-진천군-카이스트, K-스마트교육 2.0 로봇 AI 영재캠프 개최"
울산대 맞춤형 AI 인력양성과정 수료식 개최
"기보, 신입직원 75명 뽑는다…AI역량검사·블라인드 채용"
"[AI·VR·AR, 미래를 연다](9)써니팩토리"
[김주하 AI 앵커와 쉬운 우리말로] '스키드 마크'를 우리말로 하면?
"라이언로켓 X 티그컴퍼니, AI 접목한 새로운 K컬처 선봬"
"[포착] 한밤중 극단적 선택 직전, AI가 극적 구조했다"
"지질자원연, 제2회 지질자원데이터 활용 AI 경진대회"
"키움증권, AI가 고객 투자성향 분석해 자동으로 자산 배분"
[이환주의 아트살롱]AI와 예술 1화: AI가 노벨문학상을 받는다면?
[삼성화재배 AI와 함께하는 바둑 해설] 수에는 가격이 없다
"DL이앤씨, AI·360도 카메라 기반 현장관리 솔루션 도입"
"고위험 수입식품, AI가 차단한다"
"GS네오텍, AI 기반 보안 서비스 '사이트 디펜더' 출시"
"""딥페이크, 사회·국가적 혼란 초래 우려…AI로 AI 악용 막아야"""
"[게시판] KB증권, AI 상담 콜봇 서비스 오픈"
AI 스타트업 ‘마크비전’ 260억 시리즈A 유치 성공 [주간 VC 동향]
"제이엘케이 AI 치매 분석 솔루션, 태국 허가 획득"
포스코 AI기술 자문위원회…산학전문가 20여명 첫 회의
"[데일리 IT 단신] KT-NIPA, ICT 벤처 DX컨설팅·AI인재양성 지원 外"
"[특징주]드림어스컴퍼니, 아마존 2조에 아이로봇 인수..AI 로봇청소기 '에이클..."
"한양대 ERICA, CEO를 위한 AI 교육과정 신설"
"KAIST ""반도체·AI 생태계 선도…논문 수 세계 상위권"""
"KT-세존, AI·DX기술 기반 방역 산업 분야 협력"
"KT-강동경희대병원, AI로봇 활용 병원업무 디지털전환 협약"
"KT, EBS와 AI 인재 육성…SW·AI 학습환경 제공"
"[특징주]링크제니시스, 정부 AI 산업 원천기술 확보 추진..국내최초 AI 시스템..."
'인공지능(AI) 활용 간담회' 개최
"이영복 제네시스랩 대표 ""사람이 갖는 편견…공정한 AI면접에는 없습니다"" [시..."
AI 돌봄 인형…독거 노인 든든한 벗
"강기정 광주시장 ""여당이 AI반도체 단지 등 현안 힘써달라"""
"KB증권, AI 상담 콜봇 서비스 오픈外키움증권 [쿡경제]"
시 쓰고 그림 그리고… 예술영역 넘보는 AI
"가상의 쌍둥이로 내 병 미리 찾아낸다... KT, AI 헬스케어 시스템 개발 착수"
금융에 스며드는 AI…활성화 정책도
"[IR52 장영실상] 삼성전자, '로봇청소기 비스포크 제트봇 AI'"
화성시 새솔동 등 AI 자원회수기기 9곳 시범 운영
"삼성전자·SK하이닉스, AI 반도체로 '초격차 경영 속도'"
빅데이터ㆍAI 활용 고위험 수입식품 선별한다
'인공지능(AI) 활용 간담회'에서 발언하는 김소영 금융위 부위원장
"아이스크림에듀, '서리풀 샘 AI 스마트 스쿨링' 우수 학습 멘티에 장학금 수여"
"괴산군도 AI영재고 유치전 가세…군의회, 건의문 채택"
"에듀윌, 공무원 합격진단 'AI-Pass'…예측 서비스 운영"
"위메프, 애플 출신 AI전문가 기술책임자로 영입"
"롯데정보통신, '보안 AI 모델'로 지능형 위협 차단"
"딥브레인AI, 하나은행 앱에 AI은행원 공급"
"금융위, 금융분야 AI기술 활성화 나선다"
"KOTRA, 중견기업 ESG 위기감지…AI로 관련뉴스 분석 후 제공키로"
빅데이터·AI 기반 위험도로예측 시범서비스 구축
"포스코그룹, AI 기술 자문위원회 신설…신기술·전략방향 조언"
"삼성전자, “국내 대학·대학원생 중 AI 최고수는?”"
"KT, EBS와 AI 교육 협력…""디지털 100만 인재 양성 기여"""
"삼성전자, AI 인력・기술 난제 공모전으로 해결"
"영진전문대 AI융합기계계열 학생들, ICROS 2022 학술대회 우수논문상 수상"
"현대차, 전동화 등 연구개발 경력 인재 대규모 채용…AI 활용 인터뷰 도입"
"괴산군의회, AI 영재고 유치 건의문 채택"
"KB증권, 인공지능 기술 적용 'AI 상담 콜봇' 서비스 시행"
"삼성전자, 대학·대학원생 대상 '2022 삼성 AI 챌린지' 개최"
"위험상황, 폰으로…도로교통공단, ‘AI 기술 활용’ 교통사고 예방 나서"
"삼성전자, 제2회 '삼성 AI 챌린지' 개최"
"현대자동차, AI로 대규모 R&D 경력 인재 확보 나선다"
"KB證, ‘AI 상담 콜봇’ 서비스 오픈"
인공지능 우수 인력 발굴…삼성전자 ‘AI 챌린지’
"호남대, 광주발달장애인훈련센터 AI교육과정 자문"
"포스코그룹, AI 기술 자문위원회 신설한다"
"포스코그룹, AI 기술 자문위 신설…미래 전략 수립"
"KB증권, 'AI 상담 콜봇' 서비스 오픈"
